scenario,speed_m_s,speed_km_h,mode,dynamic_pressure_pa,downforce_n,downforce_kgf,downforce_low_n,downforce_high_n,drag_n,aero_power_kw
Hairpin,25.0,90.0,corner,382.81250000000006,1620.0625000000002,165.2003997287555,1215.0468750000002,2025.0781250000002,593.3593750000001,14.833984375000004
Slow corner,35.0,126.0,corner,750.3125,3175.3225,323.7927834683608,2381.491875,3969.1531250000003,1162.984375,40.704453125
Medium corner,50.0,180.0,corner,1531.2500000000002,6480.250000000001,660.801598915022,4860.187500000001,8100.312500000001,2373.4375000000005,118.67187500000003
Fast corner,65.0,234.0,corner,2587.8125,10951.622500000001,1116.7547021663872,8213.716875000002,13689.528125,4011.109375,260.722109375
Very fast corner,75.0,270.0,corner,3445.3125,14580.5625,1486.8035975587995,10935.421875,18225.703125,5340.234375,400.517578125
300 km/h straight,83.33333333333333,300.0,straight,4253.472222222222,13611.11111111111,1387.9470676644023,10208.333333333332,17013.888888888887,4466.145833333333,372.1788194444444
300 km/h corner-equivalent,83.33333333333333,300.0,corner,4253.472222222222,18000.69444444444,1835.5599969861719,13500.520833333332,22500.86805555555,6592.881944444443,549.4068287037036
